Account Name,Account Type,Vendor Type,Industry,Billing Country,Description
"Fuzhou Guanjie Yongdao Technology Co., Ltd",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Asico Door,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Hangzhou Hongli Pipe Machinery Co., Ltd",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Hebei Sinosky New Materials Co., Ltd",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Guangzhou Souxin Appliances Co., Ltd",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
First Rate,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Shall,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Zhejiang Walrus New Material Co., Ltd.",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Zhongshan Guzhen Yesheng Lighting Factory,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
TKT,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Coowin,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Rebon Cabinets,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Zhejiang Mesa Sanitary Co., Ltd",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Luxury Home Faucet,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
GP Batteries Inc,Vendor,Other,Manufacturing,United States,Imported 05/26/26 from Jefferson Alibaba vendor list
"Changzhou Yaming Wood Industry Co., Ltd.",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Foshan Mopo Sanitary Ware Co., Ltd.",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
Wipcool,Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
"Foshan SHKL Sanitary Ware Co., Ltd",Vendor,Overseas Manufacturer,Manufacturing,China,Imported 05/26/26 from Jefferson Alibaba vendor list
